actual_price,model,predicted_price
825000.0,XGBoost,699510.125
532500.0,XGBoost,467931.84375
435000.0,XGBoost,559790.1875
216000.0,XGBoost,218461.265625
525000.0,XGBoost,575844.9375
1999000.0,XGBoost,1620456.875
525000.0,XGBoost,536165.75
730000.0,XGBoost,626877.25
640000.0,XGBoost,554047.75
770000.0,XGBoost,708264.1875
950000.0,XGBoost,903737.6875
345000.0,XGBoost,314771.15625
836500.0,XGBoost,791764.875
2200000.0,XGBoost,1902771.875
275000.0,XGBoost,209909.6875
284000.0,XGBoost,305961.375
957000.0,XGBoost,766593.625
280000.0,XGBoost,159090.453125
267000.0,XGBoost,257623.953125
319950.0,XGBoost,311965.5625
1500000.0,XGBoost,1417311.5
359500.0,XGBoost,325072.3125
1100000.0,XGBoost,926006.0625
715000.0,XGBoost,735866.8125
175409.0,XGBoost,202891.890625
520000.0,XGBoost,375345.34375
217000.0,XGBoost,194768.9375
307000.0,XGBoost,299994.03125
715000.0,XGBoost,634747.6875
229950.0,XGBoost,258399.984375
585000.0,XGBoost,616215.0
355000.0,XGBoost,367827.59375
529500.0,XGBoost,572872.8125
180000.0,XGBoost,258260.5625
560000.0,XGBoost,598729.75
1050000.0,XGBoost,892822.25
328950.0,XGBoost,338705.1875
140000.0,XGBoost,183625.234375
570000.0,XGBoost,458029.96875
650000.0,XGBoost,618290.6875
345000.0,XGBoost,321836.53125
353000.0,XGBoost,323644.75
950000.0,XGBoost,812065.25
399000.0,XGBoost,403575.625
390000.0,XGBoost,404712.21875
279500.0,XGBoost,269192.59375
245000.0,XGBoost,238848.796875
115000.0,XGBoost,204774.53125
360000.0,XGBoost,389845.8125
640000.0,XGBoost,700794.875
565000.0,XGBoost,532181.0625
2950000.0,XGBoost,2331874.0
775000.0,XGBoost,767363.875
245000.0,XGBoost,264304.09375
250000.0,XGBoost,216699.1875
514000.0,XGBoost,497820.75
566000.0,XGBoost,637098.9375
231200.0,XGBoost,244855.0
180500.0,XGBoost,268298.625
246500.0,XGBoost,257507.984375
815000.0,XGBoost,890834.5625
95000.0,XGBoost,161517.171875
350000.0,XGBoost,375385.40625
698000.0,XGBoost,746081.8125
290000.0,XGBoost,284578.78125
385000.0,XGBoost,418061.625
572000.0,XGBoost,635890.4375
880000.0,XGBoost,884493.125
480000.0,XGBoost,438984.71875
554000.0,XGBoost,532673.125
585000.0,XGBoost,557907.1875
235000.0,XGBoost,295763.90625
750000.0,XGBoost,976148.875
734200.0,XGBoost,744488.3125
554663.0,XGBoost,595209.6875
278000.0,XGBoost,276461.84375
367500.0,XGBoost,376869.375
635000.0,XGBoost,661969.0625
515000.0,XGBoost,587848.4375
625000.0,XGBoost,620673.3125
299950.0,XGBoost,261696.140625
462600.0,XGBoost,480608.625
947500.0,XGBoost,813524.0625
415500.0,XGBoost,377042.65625
394900.0,XGBoost,383622.46875
628000.0,XGBoost,570389.6875
339000.0,XGBoost,386219.28125
327500.0,XGBoost,325313.0
410000.0,XGBoost,355318.6875
507250.0,XGBoost,491126.0
660000.0,XGBoost,533522.6875
279950.0,XGBoost,267863.53125
659000.0,XGBoost,598075.1875
615000.0,XGBoost,512634.25
643500.0,XGBoost,494210.0625
2000000.0,XGBoost,2070016.25
735000.0,XGBoost,700715.3125
450000.0,XGBoost,431579.65625
290000.0,XGBoost,348924.34375
345000.0,XGBoost,351731.78125
448500.0,XGBoost,470924.125
264000.0,XGBoost,271788.6875
435000.0,XGBoost,431380.875
206000.0,XGBoost,216096.984375
436800.0,XGBoost,540485.4375
228500.0,XGBoost,212615.453125
580000.0,XGBoost,501003.15625
365000.0,XGBoost,436418.84375
735000.0,XGBoost,547993.0625
515000.0,XGBoost,457423.65625
643000.0,XGBoost,568999.375
413500.0,XGBoost,353897.96875
834500.0,XGBoost,1185002.125
451000.0,XGBoost,462373.09375
1160000.0,XGBoost,1434903.375
390000.0,XGBoost,367573.6875
416000.0,XGBoost,432877.25
408000.0,XGBoost,386538.0
217500.0,XGBoost,220424.046875
422500.0,XGBoost,459571.46875
480000.0,XGBoost,507001.65625
755000.0,XGBoost,762301.8125
350000.0,XGBoost,373231.15625
1850000.0,XGBoost,1597167.0
935100.0,XGBoost,722506.25
322000.0,XGBoost,308561.375
539500.0,XGBoost,566661.5625
260000.0,XGBoost,200517.390625
616000.0,XGBoost,595323.75
202000.0,XGBoost,159225.078125
230000.0,XGBoost,227327.390625
2000000.0,XGBoost,1645799.625
260000.0,XGBoost,302928.1875
696500.0,XGBoost,705646.875
272000.0,XGBoost,327141.09375
641000.0,XGBoost,638040.1875
222900.0,XGBoost,181003.859375
365000.0,XGBoost,369096.125
753000.0,XGBoost,737254.0625
650000.0,XGBoost,636108.1875
710000.0,XGBoost,697507.6875
493000.0,XGBoost,593847.8125
